event_id,bank,date,stance
ecb_2020_01_23,ECB,2020-01-23,dovish
ecb_2020_03_12,ECB,2020-03-12,dovish
ecb_2020_03_18,ECB,2020-03-18,dovish
ecb_2020_04_30,ECB,2020-04-30,dovish
ecb_2020_04_30,ECB,2020-04-30,dovish
ecb_2020_04_30,ECB,2020-04-30,dovish
ecb_2020_05_04,ECB,2020-06-04,dovish
ecb_2020_06_16,ECB,2020-07-16,neutral
ecb_2020_09_10,ECB,2020-09-10,neutral
ecb_2020_10_29,ECB,2020-10-29,neutral
ecb_2020_12_10,ECB,2020-12-10,dovish
ecb_2021_01_21,ECB,2021-01-21,dovish
ecb_2021_03_11,ECB,2021-03-11,dovish
ecb_2021_04_22,ECB,2021-04-22,dovish
ecb_2021_05_10,ECB,2021-06-10,dovish
ecb_2021_06_22,ECB,2021-07-22,neutral
ecb_2021_09_09,ECB,2021-09-09,hawkish
ecb_2021_10_28,ECB,2021-10-28,hawkish
ecb_2021_12_16,ECB,2021-12-16,hawkish
ecb_2022_02_03,ECB,2022-02-03,neutral
ecb_2022_03_10,ECB,2022-03-10,neutral
ecb_2022_04_14,ECB,2022-04-14,neutral
ecb_2022_05_09,ECB,2022-06-09,hawkish
ecb_2022_06_21,ECB,2022-07-21,hawkish
ecb_2022_09_08,ECB,2022-09-08,hawkish
ecb_2022_10_27,ECB,2022-10-27,hawkish
ecb_2022_12_15,ECB,2022-12-15,hawkish
ecb_2023_02_02,ECB,2023-02-02,hawkish
ecb_2023_03_16,ECB,2023-03-16,hawkish
ecb_2023_05_04,ECB,2023-05-04,hawkish
ecb_2023_06_15,ECB,2023-06-15,hawkish
ecb_2023_07_27,ECB,2023-07-27,hawkish
ecb_2023_09_14,ECB,2023-09-14,hawkish
ecb_2023_10_26,ECB,2023-10-26,neutral
ecb_2023_12_14,ECB,2023-12-14,neutral
fed_2020_01_29,FED,2020-01-29,neutral
fed_2020_03_03,FED,2020-03-03,dovish
fed_2020_03_18,FED,2020-03-18,dovish
fed_2020_03_23,FED,2020-03-23,dovish
fed_2020_04_29,FED,2020-04-29,dovish
fed_2020_06_10,FED,2020-06-10,dovish
fed_2020_07_29,FED,2020-07-29,dovish
fed_2020_09_16,FED,2020-09-16,dovish
fed_2020_11_05,FED,2020-11-05,dovish
fed_2020_12_16,FED,2020-12-16,dovish
fed_2021_01_27,FED,2021-01-27,dovish
fed_2021_03_17,FED,2021-03-17,dovish
fed_2021_04_28,FED,2021-04-28,dovish
fed_2021_06_16,FED,2021-06-16,dovish
fed_2021_07_28,FED,2021-07-28,dovish
fed_2021_09_22,FED,2021-09-22,neutral
fed_2021_11_03,FED,2021-11-03,neutral
fed_2021_12_15,FED,2021-12-15,neutral
fed_2022_01_26,FED,2022-01-26,neutral
fed_2022_03_16,FED,2022-03-16,hawkish
fed_2022_05_04,FED,2022-05-04,hawkish
fed_2022_06_15,FED,2022-06-15,hawkish
fed_2022_07_27,FED,2022-07-27,hawkish
fed_2022_09_21,FED,2022-09-21,hawkish
fed_2022_11_02,FED,2022-11-02,hawkish
fed_2022_12_14,FED,2022-12-14,hawkish
fed_2023_02_01,FED,2023-02-01,hawkish
fed_2023_03_22,FED,2023-03-22,hawkish
fed_2023_05_03,FED,2023-05-03,hawkish
fed_2023_06_14,FED,2023-06-14,neutral
fed_2023_07_26,FED,2023-07-26,hawkish
fed_2023_09_20,FED,2023-09-20,neutral
fed_2023_11_01,FED,2023-11-01,neutral
fed_2023_12_13,FED,2023-12-13,neutral